customer_id,name,city,data_usage_gb,call_minutes,recharge_amount,network_type
107,Arun,Kolkata,15.5,420,449,4G
108,Divya,Ahmedabad,32.0,280,699,5G
109,Manoj,Jaipur,7.2,520,249,3G
110,Sneha,Lucknow,22.5,310,549,5G
111,Vikram,Coimbatore,10.8,470,399,4G
112,Kavya,Kochi,28.0,290,649,5G
113,Rahul,Indore,6.5,610,199,3G
114,Pooja,Visakhapatnam,19.5,360,499,4G
115,Ajay,Nagpur,14.0,430,429,4G
116,Neha,Surat,35.0,240,799,5G
117,Sanjay,Patna,4.8,650,149,3G
118,Aishwarya,Bhopal,24.0,300,599,5G
119,Ramesh,Vadodara,9.5,490,349,4G
120,Deepa,Mysore,17.0,370,459,4G
121,Nitin,Chandigarh,30.0,260,749,5G
122,Swathi,Trivandrum,11.5,440,399,4G
123,Harish,Ranchi,5.0,590,199,3G
124,Latha,Madurai,26.5,320,629,5G
125,Prakash,Nashik,13.0,410,429,4G
126,Keerthi,Hubli,21.0,340,529,5G
